benchmark,metric,value
resnet,LST,19262614808.0
scattering_self_energies,L3 Misses,17217303168.0
scattering_self_energies,L3 DRead + DWrite,26712753856.0
scattering_self_energies,L3 DMisses,17217303168.0
scattering_self_energies,L3 Access,55904218496.0
scattering_self_energies,LST,25832604102.0
seidel_2d,L3 Misses,1906207200.0
seidel_2d,L3 DRead + DWrite,2907676832.0
seidel_2d,L3 DMisses,1906207200.0
seidel_2d,L3 Access,6709287328.0
seidel_2d,LST,1831897430.0
softmax,L3 Misses,0.0
softmax,L3 DRead + DWrite,0.0
softmax,L3 DMisses,0.0
softmax,L3 Access,0.0
softmax,LST,0.0
spmv,L3 Misses,20622041440.0
spmv,L3 DRead + DWrite,30293462144.0
spmv,L3 DMisses,20622041440.0
spmv,L3 Access,68339981856.0
spmv,LST,28385407440.0
symm,L3 Misses,30169907264.0
symm,L3 DRead + DWrite,38061008256.0
symm,L3 DMisses,30169907264.0
symm,L3 Access,92432662400.0
symm,LST,30547183134.0
syr2k,L3 Misses,32195362912.0
syr2k,L3 DRead + DWrite,43764093376.0
syr2k,L3 DMisses,32195362912.0
syr2k,L3 Access,113955720192.0
syr2k,LST,29566701486.0
syrk,L3 Misses,20996878048.0
syrk,L3 DRead + DWrite,34448976704.0
syrk,L3 DMisses,20996878048.0
syrk,L3 Access,76416652864.0
syrk,LST,21997756536.0
trisolv,L3 Misses,7231904192.0
trisolv,L3 DRead + DWrite,8065072768.0
trisolv,L3 DMisses,7231904192.0
trisolv,L3 Access,20402960960.0
trisolv,LST,4319896324.0
trmm,L3 Misses,59472210752.0
trmm,L3 DRead + DWrite,0.0
trmm,L3 DMisses,59472210752.0
trmm,L3 Access,0.0
trmm,LST,29719735690.0
vadv,L3 Misses,2726306048.0
vadv,L3 DRead + DWrite,6054645440.0
vadv,L3 DMisses,2726306048.0
vadv,L3 Access,7230232000.0
vadv,LST,3887518810.0
adi,Symbolic Bytes,5161272336.0
arc_distance,Symbolic Bytes,399999960.0
atax,Symbolic Bytes,7999999984.0
azimint_hist,Symbolic Bytes,5120120016.0
bicg,Symbolic Bytes,7999999984.0
cavity_flow,Symbolic Bytes,6875772800.0
cholesky,Symbolic Bytes,1973197168.0
compute,Symbolic Bytes,12287232024.0
conv2d_bias,Symbolic Bytes,1036832188.0
covariance,Symbolic Bytes,164566982400.0
deriche,Symbolic Bytes,7196353272.0
durbin,Symbolic Bytes,16001439976.0
fdtd_2d,Symbolic Bytes,8611588800.0
gemm,Symbolic Bytes,4371052064.0
gemver,Symbolic Bytes,4800639904.0
gesummv,Symbolic Bytes,12543439992.0
go_fast,Symbolic Bytes,9600480024.0
gramschmidt,Symbolic Bytes,3614201216.0
hdiff,Symbolic Bytes,1876627392.0
heat_3d,Symbolic Bytes,1949584032.0
jacobi_1d,Symbolic Bytes,9246368064.0
jacobi_2d,Symbolic Bytes,3102521440.0
k2mm,Symbolic Bytes,4520836088.0
k3mm,Symbolic Bytes,2873088072.0
ludcmp,Symbolic Bytes,1490104184.0
mlp,Symbolic Bytes,7215359656.0
mvt,Symbolic Bytes,7745055936.0
resnet,Symbolic Bytes,4227198120.0
seidel_2d,Symbolic Bytes,159011424.0
softmax,Symbolic Bytes,4538426760.0
symm,Symbolic Bytes,1638548416.0
syr2k,Symbolic Bytes,1578324800.0
syrk,Symbolic Bytes,2901127200.0
trisolv,Symbolic Bytes,1569232000.0
trmm,Symbolic Bytes,3024706416.0
vadv,Symbolic Bytes,1478064816.0
